ranking,World Rank,University,Det.,Presence Rank*,Impact Rank*,Openness Rank*,Excellence Rank*
99,977,Capital Medical University / 首都医科大学,,5432,2346,3114,505
100,977,Hunan Normal University / 湖南师范大学,,1608,816,2628,1248
101,981,Capital Normal University / 首都师范大学,,2375,1085,1824,1083
102,983,(1) Tianjin Medical University / 天津医科大学,,5674,1575,4280,620
103,997,Hangzhou Dianzi University / 杭州电子科技大学,,2492,1191,2711,943
104,998,Harbin Medical University / 哈尔滨医科大学,,5477,1731,2584,707
105,1027,China Medical University / 中国医科大学,,5145,1449,3814,753
106,1029,Zhejiang SCI-TECH University / 浙江理工大学,,3914,1765,887,943
107,1030,University of Shanghai for Science & Technology / 上海理工大学,,1996,1271,2533,996
108,1038,Shanghai Normal University / 上海师范大学,,2493,1217,1746,1115
109,1059,Shantou (Swatow) University / 汕头大学 (汕頭大學),,2266,1141,2225,1156
110,1061,Kunming University of Science & Technology (Yunnan Polytechnic University) / 昆明理工大学,,3840,1451,2572,919
111,1071,Yunnan University / 云南大学,,2479,978,3372,1181
112,1096,Hangzhou Normal University / 杭州师范大学,,5459,1773,2009,875
113,1101,Fujian Normal University / 福建师范大学,,2169,1386,1863,1140
114,1108,Qingdao University of Science & Technology / 青岛科技大学,,3730,1660,1427,1028
115,1132,Henan Polytechnic University / 河南理工大学,,4316,1626,981,1184
116,1158,Dalian Maritime University / 大连海事大学,,4739,1180,2408,1251
117,1161,Sichuan Agricultural University / 四川农业大学,,3389,1254,2823,1202
118,1175,Shandong Normal University / 山东师范大学,,2459,1000,3516,1373
119,1181,Chongqing Medical University / 重庆医科大学,,5629,2070,3418,807
120,1185,Hebei University of Technology / 河北工业大学,,3347,1094,2434,1397
121,1195,Chongqing University of Posts & Telecommunications / 重庆邮电大学,,4654,1240,1469,1415
